uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
ES,SEPTICEMIA,HOSPITAL,"< 9",M,30
ES,SRAG,HOSPITAL,"< 9",M,1
GO,OUTRAS,DOMICILIO,"< 9",F,3
GO,OUTRAS,DOMICILIO,"< 9",M,4
GO,OUTRAS,HOSPITAL,"< 9",F,34
GO,OUTRAS,HOSPITAL,"< 9",I,1
GO,OUTRAS,HOSPITAL,"< 9",M,36
GO,OUTRAS,IGNORADO,"< 9",M,1
GO,OUTRAS,OUTRO,"< 9",M,2
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
GO,OUTRAS,VIA_PUBLICA,"< 9",F,1
GO,COVID,HOSPITAL,"< 9",F,2
GO,COVID,HOSPITAL,"< 9",M,1
GO,COVID,OUTRO,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,8
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,18
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,PNEUMONIA,HOSPITAL,"< 9",F,6
GO,PNEUMONIA,HOSPITAL,"< 9",M,2
GO,PNEUMONIA,IGNORADO,"< 9",F,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
GO,SEPTICEMIA,HOSPITAL,"< 9",F,22
GO,SEPTICEMIA,HOSPITAL,"< 9",M,34
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
GO,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,OUTRAS,DOMICILIO,"< 9",F,4
MA,OUTRAS,DOMICILIO,"< 9",M,2
MA,OUTRAS,HOSPITAL,"< 9",F,42
MA,OUTRAS,HOSPITAL,"< 9",I,1
MA,OUTRAS,HOSPITAL,"< 9",M,56
MA,OUTRAS,OUTRO,"< 9",F,4
MA,OUTRAS,OUTRO,"< 9",M,1
MA,OUTRAS,VIA_PUBLICA,"< 9",F,1
MA,OUTRAS,VIA_PUBLICA,"< 9",M,3
MA,COVID,HOSPITAL,"< 9",F,2
MA,COVID,HOSPITAL,"< 9",M,3
MA,INDETERMINADA,HOSPITAL,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,5
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,9
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,PNEUMONIA,DOMICILIO,"< 9",M,2
MA,PNEUMONIA,HOSPITAL,"< 9",F,2
MA,PNEUMONIA,HOSPITAL,"< 9",M,6
MA,SEPTICEMIA,HOSPITAL,"< 9",F,16
MA,SEPTICEMIA,HOSPITAL,"< 9",M,8
MA,SRAG,HOSPITAL,"< 9",F,1
MA,SRAG,HOSPITAL,"< 9",M,1
MA,SRAG,OUTRO,"< 9",M,1
MG,OUTRAS,DOMICILIO,"< 9",F,12
MG,OUTRAS,DOMICILIO,"< 9",M,9
MG,OUTRAS,HOSPITAL,"< 9",F,154
MG,OUTRAS,HOSPITAL,"< 9",I,3
MG,OUTRAS,HOSPITAL,"< 9",M,175
MG,OUTRAS,IGNORADO,"< 9",F,4
MG,OUTRAS,IGNORADO,"< 9",M,8
MG,OUTRAS,OUTRO,"< 9",F,1
MG,OUTRAS,OUTRO,"< 9",M,3
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,4
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,10
MG,OUTRAS,VIA_PUBLICA,"< 9",F,1
MG,OUTRAS,VIA_PUBLICA,"< 9",M,2
MG,COVID,HOSPITAL,"< 9",F,7
MG,COVID,HOSPITAL,"< 9",M,5
MG,INDETERMINADA,DOMICILIO,"< 9",M,1
MG,INDETERMINADA,HOSPITAL,"< 9",F,5
MG,INDETERMINADA,HOSPITAL,"< 9",M,6
MG,INDETERMINADA,OUTRO,"< 9",F,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,23
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,41
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,HOSPITAL,"< 9",F,12
MG,PNEUMONIA,HOSPITAL,"< 9",M,10
MG,PNEUMONIA,IGNORADO,"< 9",F,1
MG,PNEUMONIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,SEPTICEMIA,HOSPITAL,"< 9",F,71
MG,SEPTICEMIA,HOSPITAL,"< 9",M,86
MG,SEPTICEMIA,IGNORADO,"< 9",F,4
MG,SEPTICEMIA,IGNORADO,"< 9",M,2
MG,SEPTICEMIA,OUTRO,"< 9",F,1
MG,SRAG,HOSPITAL,"< 9",F,2
MS,OUTRAS,DOMICILIO,"< 9",F,7
MS,OUTRAS,DOMICILIO,"< 9",M,2
MS,OUTRAS,HOSPITAL,"< 9",F,49
MS,OUTRAS,HOSPITAL,"< 9",M,48
MS,OUTRAS,OUTRO,"< 9",F,1
MS,OUTRAS,POSTO_SAUDE,"< 9",F,1
MS,OUTRAS,VIA_PUBLICA,"< 9",M,2
MS,COVID,HOSPITAL,"< 9",F,2
MS,COVID,HOSPITAL,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,8
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,9
MS,PNEUMONIA,HOSPITAL,"< 9",F,5
MS,PNEUMONIA,HOSPITAL,"< 9",M,6
MS,SEPTICEMIA,HOSPITAL,"< 9",F,10
MS,SEPTICEMIA,HOSPITAL,"< 9",M,9
MT,OUTRAS,DOMICILIO,"< 9",F,2
MT,OUTRAS,DOMICILIO,"< 9",M,1
MT,OUTRAS,HOSPITAL,"< 9",F,25
MT,OUTRAS,HOSPITAL,"< 9",M,30
MT,OUTRAS,IGNORADO,"< 9",F,8
MT,OUTRAS,IGNORADO,"< 9",M,10
MT,OUTRAS,OUTRO,"< 9",F,3
MT,OUTRAS,OUTRO,"< 9",M,5
MT,COVID,HOSPITAL,"< 9",F,1
MT,COVID,IGNORADO,"< 9",F,1
MT,INDETERMINADA,IGNORADO,"< 9",M,2
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,6
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,6
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,3
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,6
MT,PNEUMONIA,HOSPITAL,"< 9",F,1
MT,PNEUMONIA,HOSPITAL,"< 9",M,3
MT,PNEUMONIA,IGNORADO,"< 9",F,2
MT,PNEUMONIA,IGNORADO,"< 9",M,2
MT,SEPTICEMIA,HOSPITAL,"< 9",F,11
MT,SEPTICEMIA,HOSPITAL,"< 9",M,13
MT,SEPTICEMIA,IGNORADO,"< 9",F,14
MT,SEPTICEMIA,IGNORADO,"< 9",M,9
MT,SEPTICEMIA,OUTRO,"< 9",F,1
PA,OUTRAS,DOMICILIO,"< 9",F,5
PA,OUTRAS,DOMICILIO,"< 9",M,4
PA,OUTRAS,HOSPITAL,"< 9",F,42
PA,OUTRAS,HOSPITAL,"< 9",I,2
PA,OUTRAS,HOSPITAL,"< 9",M,56
PA,OUTRAS,OUTRO,"< 9",F,4
PA,OUTRAS,OUTRO,"< 9",M,5
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
PA,OUTRAS,VIA_PUBLICA,"< 9",F,2
PA,OUTRAS,VIA_PUBLICA,"< 9",M,1
PA,COVID,HOSPITAL,"< 9",F,1
PA,COVID,HOSPITAL,"< 9",M,2
PA,COVID,OUTRO,"< 9",F,1
PA,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
PA,INDETERMINADA,DOMICILIO,"< 9",F,1
PA,INDETERMINADA,HOSPITAL,"< 9",M,1
PA,INDETERMINADA,VIA_PUBLICA,"< 9",M,1
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,11
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,18
PA,PNEUMONIA,DOMICILIO,"< 9",M,1
PA,PNEUMONIA,HOSPITAL,"< 9",F,7
PA,PNEUMONIA,HOSPITAL,"< 9",M,14
PA,SEPTICEMIA,HOSPITAL,"< 9",F,16
PA,SEPTICEMIA,HOSPITAL,"< 9",M,17
PA,SRAG,HOSPITAL,"< 9",M,3
PB,OUTRAS,DOMICILIO,"< 9",F,9
PB,OUTRAS,DOMICILIO,"< 9",M,7
PB,OUTRAS,HOSPITAL,"< 9",F,45
PB,OUTRAS,HOSPITAL,"< 9",I,1
PB,OUTRAS,HOSPITAL,"< 9",M,35
PB,OUTRAS,OUTRO,"< 9",F,1
PB,OUTRAS,OUTRO,"< 9",M,2
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,6
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,9
PB,COVID,HOSPITAL,"< 9",M,4
PB,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PB,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,6
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,5
PB,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PB,PNEUMONIA,HOSPITAL,"< 9",F,4
PB,PNEUMONIA,HOSPITAL,"< 9",M,9
PB,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PB,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
PB,SEPTICEMIA,HOSPITAL,"< 9",F,17
PB,SEPTICEMIA,HOSPITAL,"< 9",M,26
PB,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
PB,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
PE,OUTRAS,DOMICILIO,"< 9",F,4
PE,OUTRAS,DOMICILIO,"< 9",M,6
PE,OUTRAS,HOSPITAL,"< 9",F,175
PE,OUTRAS,HOSPITAL,"< 9",I,5
PE,OUTRAS,HOSPITAL,"< 9",M,189
PE,OUTRAS,IGNORADO,"< 9",F,1
PE,OUTRAS,OUTRO,"< 9",M,2
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
PE,OUTRAS,VIA_PUBLICA,"< 9",F,2
PE,OUTRAS,VIA_PUBLICA,"< 9",M,5
PE,COVID,HOSPITAL,"< 9",F,7
PE,COVID,HOSPITAL,"< 9",M,6
PE,INDETERMINADA,DOMICILIO,"< 9",F,1
PE,INDETERMINADA,DOMICILIO,"< 9",M,1
PE,INDETERMINADA,HOSPITAL,"< 9",F,2
PE,INDETERMINADA,HOSPITAL,"< 9",M,4
PE,INDETERMINADA,OUTRO,"< 9",F,1
PE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,16
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,16
PE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
PE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
PE,PNEUMONIA,HOSPITAL,"< 9",F,4
PE,PNEUMONIA,HOSPITAL,"< 9",M,8
PE,SEPTICEMIA,HOSPITAL,"< 9",F,39
PE,SEPTICEMIA,HOSPITAL,"< 9",I,1
PE,SEPTICEMIA,HOSPITAL,"< 9",M,49
PE,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
PE,SRAG,HOSPITAL,"< 9",F,2
PE,SRAG,HOSPITAL,"< 9",M,4
PE,SRAG,VIA_PUBLICA,"< 9",M,1
PI,OUTRAS,HOSPITAL,"< 9",F,11
PI,OUTRAS,HOSPITAL,"< 9",M,4
PI,OUTRAS,IGNORADO,"< 9",F,1
PI,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PI,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
PI,OUTRAS,VIA_PUBLICA,"< 9",F,1
PI,COVID,HOSPITAL,"< 9",F,2
PI,COVID,OUTRO,"< 9",F,1
PI,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
PI,PNEUMONIA,HOSPITAL,"< 9",F,2
PI,PNEUMONIA,HOSPITAL,"< 9",M,1
PI,SEPTICEMIA,HOSPITAL,"< 9",F,4
PI,SEPTICEMIA,HOSPITAL,"< 9",M,7
PI,SEPTICEMIA,OUTRO,"< 9",M,1
PR,OUTRAS,DOMICILIO,"< 9",F,2
PR,OUTRAS,DOMICILIO,"< 9",M,6
PR,OUTRAS,HOSPITAL,"< 9",F,53
PR,OUTRAS,HOSPITAL,"< 9",M,106
PR,COVID,HOSPITAL,"< 9",F,7
PR,COVID,HOSPITAL,"< 9",M,9
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,9
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,14
PR,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
PR,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
PR,PNEUMONIA,HOSPITAL,"< 9",F,7
PR,PNEUMONIA,HOSPITAL,"< 9",M,9
PR,SEPTICEMIA,HOSPITAL,"< 9",F,38
PR,SEPTICEMIA,HOSPITAL,"< 9",I,1
PR,SEPTICEMIA,HOSPITAL,"< 9",M,38
PR,SEPTICEMIA,OUTRO,"< 9",F,1
PR,SEPTICEMIA,OUTRO,"< 9",M,1
RJ,OUTRAS,DOMICILIO,"< 9",F,6
RJ,OUTRAS,DOMICILIO,"< 9",M,6
RJ,OUTRAS,HOSPITAL,"< 9",F,246
RJ,OUTRAS,HOSPITAL,"< 9",I,7
RJ,OUTRAS,HOSPITAL,"< 9",M,259
RJ,OUTRAS,IGNORADO,"< 9",F,1
RJ,OUTRAS,IGNORADO,"< 9",M,1
RJ,OUTRAS,OUTRO,"< 9",F,1
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,6
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,10
RJ,OUTRAS,VIA_PUBLICA,"< 9",M,2
RJ,COVID,HOSPITAL,"< 9",F,3
RJ,COVID,HOSPITAL,"< 9",M,12
RJ,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
RJ,INDETERMINADA,DOMICILIO,"< 9",F,1
RJ,INDETERMINADA,HOSPITAL,"< 9",F,2
RJ,INDETERMINADA,HOSPITAL,"< 9",M,1
RJ,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
RJ,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,19
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,11
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
RJ,PNEUMONIA,HOSPITAL,"< 9",F,22
RJ,PNEUMONIA,HOSPITAL,"< 9",M,19
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,5
RJ,SEPTICEMIA,HOSPITAL,"< 9",F,84
RJ,SEPTICEMIA,HOSPITAL,"< 9",M,127
RJ,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
RJ,SRAG,HOSPITAL,"< 9",F,3
RJ,SRAG,HOSPITAL,"< 9",M,5
RN,OUTRAS,DOMICILIO,"< 9",F,1
RN,OUTRAS,HOSPITAL,"< 9",F,11
RN,OUTRAS,HOSPITAL,"< 9",M,36
RN,OUTRAS,VIA_PUBLICA,"< 9",M,1
RN,COVID,HOSPITAL,"< 9",F,3
RN,COVID,HOSPITAL,"< 9",M,4
RN,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
RN,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,6
RN,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,4
RN,PNEUMONIA,HOSPITAL,"< 9",F,1
RN,PNEUMONIA,HOSPITAL,"< 9",M,1
RN,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
RN,SEPTICEMIA,HOSPITAL,"< 9",F,11
